,Input,Counter Tweet,Bleu Score,Cosine Similarity,Predicted Party,Actual Party
0,the trump administration supports a lawsuit that would strip protections from millions of americans with preexisting conditions,the status quo is unacceptable the pain caused by obamacare is real for millions of americans we must repeal and replace this failed law,0.1602072099,0.6855387688,0,0
1,today is the 46th anniversary of roe wade we have a long way to go before the promise of roev wade is a reality for all minnesotans we are proud to fight for that promise alongside reproductive rights activists in our state,thank you to everyone who attended the march for life last friday our work to protect the unborn is never finished i will always defend life which is why i am proud to be leading the fight to defund pp the nation top abortion provider why we march,0.2642490274,0.7043261528,0,0
2,fact workers wages have not kept up with productivity,fact workers wages have not kept up with productivity,1,1.000000119,1,0
3,the fbi has prosecuted americans for compromising information far less classified than what clinton and her staff revealed,dir comey mishandling of email investigation had profound consequences for fbi and country must never be repeated,0.6111127561,0.8464992046,1,1
4,iran aggression inside israeli territory merited a forceful response these actions demonstrated iran dangerous behavior and capability have eanded significantly this is evidence that we must maintain a robust presence in the region to counter and roll back iranian aggression,while joining forces with our allies to better contain iran conventional capabilities and nefarious conduct in the region and beyond,0.07824804607,0.8273530006,1,1
5,socialism is a rigid ideology that always ends in tyranny,medicare is socialism,0.08762406446,0.711481452,1,1
6,too many of us myself included are still paying off our student loans here my plan to get rid of student loan debt if you work for college college should work for you do you agree join our movement to cancel debt,good news icymi this is the essence of betsy de vos ed visit to butler tech on friday college is a great option for many but there is also great dignity in work that does not require college for too long the popular message has inflated 4-year degrees at the expense of others,0.6590692246,0.5013917685,0,0
7,economic confidence numbers are double under cc this is why companies now investing in their workforce/workplace claim it is because of the tax cut not bc of the president who preceded the president that gave us the tax cut,the math simply does not add up the house gop tax plan borrows from the future to give the rich a tax cut,0.1768548471,0.8111570477,1,1
8,rep ilhan omar has been at the center of a lot of controversy but these minneapolis constituents have her back,the honorable and amazing mike pence on mayor pete in i hold mayor buttigieg in the highest personal regard i see him as a dedicated public servant and a patriot why is mayor pete fabricating a controversy where there is not one,0.516973154,0.6510907412,0,0
9,i do not want this testimony to just occur behind closed doors congressman biggs and i are fighting for are subpoenas so before the judiciary committee and all the american people we can get answers to these questions and ee the bias we know exist,we continue to find more evidence that judge kavanaugh misled me and the judiciary committee under oath i am posting important documents that senate republicans did not want the american people to see we deserve transparency about this nominee,0.1960856432,0.8199659586,1,1
10,rod rosenstein threatened congressional staff when the bully picks on your little brother you have to respond it is time for house leadership to stand up,to the party of ronald reagan now is the time to stand up to president trump assault on our country free press not the enemy,0.1772917165,0.6375949383,1,1
11,longterm dependence on public programs of any kind is not a part of the american dream that i am familiar with and i do not think anybody out there believes that as well so this idea is to get folks back out there on their own two feet 2018farm bill,our economy is not working for working people the cost of living is going up but paychecks are not keeping up people are drowning in debt for the first time we have a whole generation of americans living with the sinking belief that they may not do as well as their parents,0.3205502559,0.7030619383,1,1
12,thanks to historic taxreform and regulatory relief america is better off now because we have an economy built for growth,thanks to all who 've supported our bill so far a better deal means creating millionsof jobs for americans and rebuilding aging infrastructure,0.3152861344,0.7666034698,1,1
